Scope,Position,Archetype,Attribute,Count,Min,P10,P25,Median,P75,P90,P95,P99,Max,Reliable
Position,RB,,Speed,2262,35.00,44.00,48.00,54.00,60.00,67.00,70.00,76.39,87.00,true
Position,RB,,Agility,2262,8.00,17.00,21.00,27.00,33.00,39.00,43.00,50.00,57.00,true
Position,RB,,FootballIQ,2262,4.00,11.00,14.00,18.00,24.00,29.00,32.00,38.00,47.00,true
Position,RB,,Strength,2262,1.00,10.00,14.00,19.00,24.00,30.00,33.00,40.00,48.00,true
Position,RB,,Carrying,2262,2.00,11.00,16.00,21.00,27.00,33.00,36.00,42.39,51.00,true
Position,RB,,Catching,2262,1.00,10.00,13.00,19.00,27.00,34.00,38.00,47.00,55.00,true
Position,RB,,RouteRunning,2262,0.00,1.00,4.00,7.00,16.00,27.00,31.00,36.00,42.00,true
Position,RB,,ZoneCoverage,2262,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,RB,,ManCoverage,2262,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,29.00,true
Position,RB,,Tackle,2262,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,RB,,PassBlock,2262,1.00,3.00,6.00,11.00,24.00,29.90,33.00,38.00,46.00,true
Position,RB,,RunBlock,2262,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.39,17.00,true
Position,RB,,PassRush,2262,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,RB,,RunDefense,2262,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.00,17.00,true
Position,RB,,ThrowPower,2262,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,RB,,ThrowAccuracy,2262,0.00,4.00,7.00,10.00,15.00,19.00,21.00,24.00,30.00,true
Position,RB,,KickAccuracy,2262,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,RB,,KickPower,2262,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,RB,,PuntAccuracy,2262,0.00,2.00,3.00,6.00,8.00,10.00,11.00,15.00,17.00,true
Position,RB,,PuntPower,2262,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,SS,,Speed,1014,27.00,35.00,39.00,45.00,51.00,57.00,60.00,66.00,81.00,true
Position,SS,,Agility,1014,14.00,19.00,23.00,27.00,34.00,39.00,41.00,48.87,56.00,true
Position,SS,,FootballIQ,1014,5.00,10.00,14.00,21.00,27.00,34.00,38.00,44.00,49.00,true
Position,SS,,Strength,1014,3.00,7.00,9.00,13.00,17.00,23.00,28.00,36.87,44.00,true
