PlayerID,Team,DrillPosition,Archetype,FirstName,LastName,Age,PositionDrill,PositionDrillAttribute,PositionDrillResult,TeamDrill,TeamDrillAttribute,TeamDrillResult,EventText,InjuryText,WeeksOut
285,BUF,OT,Balanced,Marquez,Allen,26,mirror,pass_block,0,film,football_iq,-1,"Performs poorly in conditioning, noticeably lagging behind teammates.",None,0
366,BUF,K,Power,John,Hollis-Jefferson,26,power,kick_power,-2,film,kick_power,0,Shows up late to a team meeting.,None,0
387,BUF,QB,Pocket,Yusei,Asencio,26,film,football_iq,2,film,football_iq,1,,High Ankle Sprain,4
428,BUF,QB,Scrambler,Luke,Trahan,26,film,football_iq,5,film,football_iq,2,"Consistently executes plays at a high level, earning trust from the coaching staff.",None,0
489,BUF,CB,Zone Coverage,Rob,Guthrie,26,plyometrics,agility,1,film,football_iq,2,,None,0
805,BUF,WR,Possession,Neil,Faulkner,26,square,route_running,2,film,football_iq,1,,None,0
4994,BUF,TE,Blocking,Joshua,Wingenter,25,square,route_running,3,film,football_iq,1,,None,0
4995,BUF,DE,Balanced,Matt,McCants,25,rip,pass_rush,3,film,football_iq,-1,,None,0
5005,BUF,ILB,Run Stopper,Ola,Cunningham,25,rushlane,pass_rush,2,film,football_iq,2,,None,0
5024,BUF,WR,Possession,Jaydon,Hagadone,25,square,route_running,2,film,football_iq,2,,None,0
5067,BUF,QB,Pocket,Wayne,Murray,25,film,football_iq,0,film,football_iq,1,,None,0
5167,BUF,CB,Man Coverage,Jermaine,Shuck,25,plyometrics,agility,1,film,football_iq,0,,None,0
5355,BUF,OLB,Speed,Henry,Valaika,25,rushlane,pass_rush,2,film,football_iq,3,,None,0
5372,BUF,OG,Balanced,Mike,Wynn,25,mirror,pass_block,1,film,football_iq,0,,None,0
5380,BUF,RB,Speed,J.C.,Lacy,25,plyometrics,agility,3,film,football_iq,1,,None,0
5383,BUF,OT,Run Blocking,Tyler,Jackson,25,mirror,pass_block,1,film,football_iq,1,,None,0
5942,BUF,WR,Route Runner,Kasen,Reed,25,square,route_running,2,film,football_iq,2,,None,0
5997,BUF,TE,Receiving,Thad,Downs,25,square,route_running,2,film,football_iq,2,,None,0
6474,BUF,C,Pass Blocking,Jamon,Ridley,25,mirror,pass_block,1,film,football_iq,3,,None,0
6653,BUF,DT,Nose Tackle,Jordan,Burris,25,rip,pass_rush,2,film,football_iq,1,,None,0
10014,BUF,FB,Blocking,Adam,Anderson,24,blitzpickup,pass_block,0,film,football_iq,-1,Blows a key play during a scrimmage in front of the coaching staff.,None,0
10106,BUF,DT,Nose Tackle,Javy,Axelrod,24,rip,pass_rush,2,film,football_iq,1,,None,0
10127,BUF,FS,Zone Coverage,John,Jefferson,24,centerfield,zone_coverage,2,film,football_iq,0,Gets unusually frustrated after losing a rep in individual drills.,None,0
10150,BUF,CB,Zone Coverage,Chandler,McKay,24,plyometrics,agility,4,film,football_iq,3,Demonstrates unexpected versatility by excelling in an unfamiliar role.,None,0
