id,first_name,last_name,position,weight
19978,Patrick,Hernandez,WR,188
19981,Kevin,Robles,ILB,236
19985,Hisashi,Rudock,OLB,235
19987,Mikal,Cingrani,ILB,233
19988,Darius,Mauer,OT,288
19993,Caleb,Allen,FS,196
20004,Justin,Saint Fleur,WR,191
20006,Joe,Williams,RB,198
20009,Joey,Gosewisch,DE,288
20010,Alex,Dunn,OT,305
20014,Aaron,Smith,DT,288
20016,Mike,Blackley,OLB,251
20018,Saquon,Gotay,CB,192
20019,Austin,Arnold,CB,186
20020,Kyle,Walker,SS,209
20025,Mike,Johnson,OLB,244
20028,Matt,Taylor,WR,193
20031,Kelvin,Gurley,FS,208
20032,Myles,Hernandez,OT,280
20033,Andy,Texeira,OT,298
20037,Trae,Williams,CB,188
20040,Laurent,Gimenez,OG,283
20041,Paul,McCullers-Sanders,QB,226
20046,Raffy,Kahnle,OLB,234
20047,Spencer,Taylor,FS,202
20048,Rayshawn,Zeller,TE,253
20049,Jonathan,Waguespack,DT,301
20050,Marquese,Ash,RB,202
20052,Caleb,Murphy,FS,196
20054,Damien,Hauschild,DE,294
20056,Mario,Wittgren,FS,196
20058,Grayson,Williams,OG,294
20064,Pascal,Krieger-Coble,RB,192
20067,Trae,March-Lillard,TE,246
20068,Yefry,Norman,RB,218
20069,Ross,Moscoso,WR,222
20072,Matt,Norberto,ILB,230
20077,Taylor,Brinkley,RB,197
20079,Aaron,Mays,CB,183
20080,Clint,Sinkfield,CB,182
20081,Luis,Drummond,DT,300
20082,Tray,Carter,OLB,240
20087,Robert,Cabral,DE,300
20091,Pedro,Farrow,WR,196
20093,Alan,Odighizuwa,WR,177
20099,Alcides,Holden,QB,236
20100,Kenneth,De Jesus,WR,192
20101,Andreas,Shields,OT,296
20102,Kyle,Ham,QB,217
20103,Chris,Gonzalez,DT,313
20104,Duke,Nido,RB,209
20105,Brandon,Duffey,SS,206
20107,Michael,Williams,OT,299
20109,Royce,Wreh-Wilson,TE,223
20111,Eric,Hosmer,TE,260
20112,Jose,Bandy,RB,203
20113,Ty,Ivie,DE,285
20114,Ross,Patton,CB,183
