id,team_abbr,first_name,last_name,weight
74001,TENN,Ernesto,Moran,285
74002,BAYL,John,Kwiecien,247
74003,PURD,Hector,Galvan,298
74004,LSU,Edward,Martin,196
74005,LSU,David,Scott,222
74006,PURD,Helen,Keller,217
74009,PNST,Paul,Philips,188
74010,BAYL,John,Raymond,285
74011,TLNE,Jose,Hernandez,248
74013,PURD,Bryce,Speer,249
74016,TENN,Roger,London,238
74018,PNST,James,Watson,203
74019,FSU,Brad,Pogue,189
74027,PURD,Max,Benson,222
74028,WVU,Justin,Hesse,193
74029,BAYL,Andrew,Stinson,287
74030,MIAF,Nathan,Hartigan,223
74031,BGSU,Richard,Allgier,215
74034,BGSU,Kenneth,Buchanan,222
74036,SJSU,Alfredo,Maldonado,294
74037,OKST,Joseph,Atkinson,288
74038,UTAH,Randolph,Hancox,298
74039,BGSU,Scott,Brewer,200
74042,TULS,Samuel,Wiley,277
74050,TTU,Jorge,Castillo,305
74051,WAST,Chris,Cui,287
74055,LOU,Alfred,Schneider,241
74060,COLO,Joerg,Berna,235
74065,PURD,Louis,Fink,202
74066,WMU,Brandon,Eckerman,207
74068,TULS,Cesar,Chacon,210
74069,KANS,Jesus,Hernandes,285
74070,OKST,Enrique,Guerra,294
74071,IND,Lance,Hodges,243
74072,STAN,Christopher,Brown,196
74074,CAL,Michael,Saum,247
74076,TENN,Steven,Carnahan,269
74077,UNM,Tyler,Graham,288
74080,SJSU,Jeffrey,Swanson,194
74081,TULS,Pankaj,Gao,305
74087,TULS,Ernest,Williams,294
74088,FLA,Kevin,Moore,184
74089,FLA,Arnold,Mullins,251
74090,BAYL,Donald,Masterson,214
74092,UGA,Andre,Turner,288
74093,PURD,Brandon,Stevens,231
74094,UCLA,Ronald,Haasch,290
74097,FLA,Joseph,Kloeckner,281
74098,BAYL,Antonio,Villasenor,189
74099,KANS,Travis,Campbell,247
74105,LSU,Dennis,Garfield,257
74106,BGSU,Richard,Chung,302
74107,OHST,Juan,Lopez,207
74108,BGSU,Michael,Findlay,295
74109,PURD,Christopher,Tubbs,198
74111,ECU,Stephen,London,224
74112,SDSU,David,Fisher,196
74114,TEX,Carl,Mcgowan,292
74115,TXST,Fred,Oldakowski,196
74119,TULS,Benjamin,Young,185
74120,WMU,Wesley,Reed,285
74123,IND,Michael,Williams,286
74126,FSU,David,Owenby,279
74127,UNC,Robert,Wilson,206
74128,COLO,Billy,Lott,213
74129,BAYL,Daniel,Siverly,241
74133,PNST,George,Roush,267
74137,TENN,Kenneth,Cox,244
74139,TENN,Nicholas,Crosby,277
74141,STAN,Robert,Bennett,194
74143,BAYL,Joey,Harper,293
74144,NAVY,Christopher,Gillies,293
74146,TLNE,Timothy,Beatty,291
74149,UGA,Charles,Bellamy,191
74153,MINN,Richard,Seider,280
74155,TENN,Peter,Meyers,197
74156,PITT,Carl,Gresham,245
74159,TTU,William,Powell,251
74160,MIAF,John,Russell,230
74161,UCLA,Donald,Coaxum,235
74163,TULS,Michael,Taflinger,308
74165,FSU,Jose,Ramos,301
74166,BGSU,Jason,Keene,187
74169,NIU,Jason,Bush,296
74171,NAVY,Timothy,Johnson,241
74172,BGSU,Christopher,Cannon,229
74174,FSU,Victor,Howard,232
74175,UHOU,Robert,Villar,287
74176,STAN,Ronald,Peterson,281
74178,CAL,Robert,Hanzel,187
74179,BGSU,Irvin,Barlow,235
74182,PURD,Mohammad,Roberts,190
74184,BAYL,Daniel,Eckmann,191
74185,TENN,George,Simpson,188
74187,SDSU,Michael,Bohen,194
74189,BGSU,Frank,Berman,295
74190,PURD,Eric,Lange,205
74191,TTU,Michael,Post,238
74193,PNST,Shaun,Bohlke,199
74194,WMU,James,Whitcomb,224
74195,WMU,Willie,Robinson,216
74196,CAL,David,Ferguson,203
74198,BAYL,Charles,Finlay,210
74199,WVU,Juan,Corral,216
74200,SMU,Luis,Medina,228
74201,TENN,Eric,Tate,201
74202,SMU,Kenneth,Bah,180
74206,NAVY,Bernard,Wilson,192
74207,UNLV,Stanley,Jones,229
74208,BGSU,David,Flores,290
74209,NAVY,Kirk,Ragland,196
74210,ND,Brian,White,231
74211,ILLI,Ravinder,Carbonel,249
74212,MICH,Bobby,Rashid,202
74216,TEX,Peter,Barnett,300
74218,UNLV,Benjamin,Harris,191
74219,NIU,Jesse,Willoughby,227
74220,JMU,Joseph,Perkins,209
74221,BAYL,Gustavo,Johnson,293
74225,CAL,Brad,Davis,204
74226,MIAF,Eric,Woodward,191
74227,KANS,Frank,Greco,221
74228,UCLA,Martin,Macias,237
74229,UCLA,Felipe,Lopez,221
74231,TTU,Sergio,Sanchez,235
74232,WVU,Craig,Francis,191
74233,UCLA,Ryan,Mccarson,291
74236,AUB,Larry,Frazier,204
74237,UNLV,David,Lowery,308
74238,SDSU,Christian,Henderson,310
74243,UNC,Brian,Hoke,177
74245,TENN,James,Hilton,289
74246,TLNE,Oscar,Riser,188
74248,ECU,Robert,Workman,196
74249,MINN,Dan,Boyd,194
74250,FLA,Francisco,Reza,238
74254,OHIO,John,Clark,231
74255,CAL,Nicholas,Catton,312
74256,NEB,Juan,Arana,210
74258,MIST,Ronald,Byrne,198
74260,WISC,Kevin,Jones,213
74261,UNLV,Chun,Bhagwandin,310
74262,UCLA,Jose,Pulido,224
74266,TENN,James,Peckham,187
74268,MICH,Russell,Spickard,177
74269,SDSU,Peter,Drummond,307
74270,UGA,Walter,Garner,238
74271,TEX,David,Stevens,311
74273,PURD,James,Harris,185
74274,TLNE,Jacob,Owens,298
74276,MIAF,Jose,Vega,220
74280,BGSU,Norman,Jones,252
74285,TEX,Kevin,Hong,211
74286,UNLV,Peter,Ahlstrom,310
74287,WAST,Dean,Wall,297
74288,PURD,William,Tibbs,275
74289,UGA,Jonathan,Green,280
74291,UHOU,Jim,Kantor,229
74293,WAKE,Brad,Klotter,204
74294,BYU,Robert,Whitten,220
74295,FLA,John,Lee,200
74297,MINN,Ernest,Ramirez,181
74301,BAYL,Luis,Brusuelas,197
74302,MINN,James,Vass,296
74303,STAN,Victor,Vigil,191
74304,MINN,Joseph,Reid,304
74307,WVU,Carl,Wheeler,183
74308,MICH,Frank,Ryan,289
74309,ND,Matthew,Martin,284
74310,FLA,Edgar,Mendoza,184
74311,MIAF,Charles,Martin,176
74314,WAST,My,Aguada,187
74315,TLNE,David,Levine,186
74321,UNLV,Simon,Ramsey,255
74322,BAYL,David,Ruiz,185
74325,IND,Patrick,Patton,298
74328,CAL,Chung,Gray,286
74329,COLO,Jose,Necoechea,307
74330,UNLV,Herman,Cheeks,300
74333,BGSU,Frank,Hernande,191
74334,MISS,David,Dipasquale,211
74336,ECU,George,Lemmons,192
74339,COLO,Martin,Gonzalez,180
74341,BGSU,Bahman,Downs,235
74343,UHOU,Benjamin,Dunlap,191
74347,GT,James,Reinhard,210
74348,UNLV,Chun,He,209
74349,TEX,Joseph,Wise,235
74351,MIAF,Allen,Roy,185
74355,MISS,Sung,Chiang,178
74356,UTAH,Jeffrey,Wolfe,204
74357,USAF,Ford,Angle,216
74359,MIAF,Anthony,Allen,293
74360,TTU,Jason,Morris,270
74363,TLNE,Gregory,Barr,238
74366,UNLV,David,Weller,243
74369,WVU,Thomas,Hubbard,276
74370,TENN,Ricky,Billups,221
74373,TULS,Frederick,Theriot,197
74375,MIAF,Marlon,Fields,221
74378,PURD,Cameron,Green,173
74379,WMU,Steve,Ricco,284
74383,UCLA,Dung,Te,206
74384,IND,Samuel,Johnson,205
74386,TTU,Timothy,Abbatoy,307
74389,NEB,Dwayne,Riddle,303
74390,TULS,Jeffrey,Adams,240
74392,CSU,Mark,Berschauer,212
74395,MICH,Phillip,Garris,231
74398,UKEN,Mark,Koch,216
74399,USF,Juan,Flores,174
74401,IND,Timothy,Moore,195
74402,WVU,Joseph,Hattenbach,268
74403,NAVY,Dinesh,Villegas,229
74406,ZONA,Henry,Moore,181
74407,UTSA,Donald,Johnson,232
74414,UTST,Jimmy,Williams,298
74415,NAVY,Ricky,Lombardi,198
74416,MINN,Francis,Sherman,187
74419,MISS,Brian,Dress,295
74422,WVU,Graham,Harrison,194
74423,UGA,Richard,Walker,246
74426,LSU,Derrick,Sherrill,289
74428,UTST,Paul,Walley,234
74433,SJSU,Joe,Escareno,191
74443,ND,Thomas,Allred,239
74448,CAL,Joseph,Evans,287
74451,UTAH,Matthew,Ritsema,199
74464,SMU,Matthew,Garrett,242
74474,UNM,Steven,Dolci,290
74483,SJSU,Luke,Landesman,289
74484,WMU,John,Ross,281
74486,KANS,Blake,Godfrey,200
74492,MISS,Steven,Sargent,218
74493,OHST,Robert,Labarbera,232
74494,SUU,Stephen,Durkin,245
74496,IND,Robert,Porter,198
74499,UNLV,Robert,Lemberger,220
74503,IND,Damon,Devlin,227
74505,UNA,Melvin,Vallejos,287
74508,BYU,Charles,Digby,198
74512,NEV,Ronald,Collier,226
74515,BYU,Alexander,Cannella,292
74516,ILLI,Brian,Reynolds,301
74520,LOU,Christopher,Lyons,214
74521,NEB,Michael,Hecht,186
74524,SJSU,Jerald,Coster,195
74527,TEX,Jose,Perez,192
74530,VT,Douglas,Gideon,284
74532,CUSE,John,Majors,220
74536,STAN,Thomas,Houy,295
74542,UNC,Joseph,Bourne,241
74544,BALL,Michael,Kennicott,249
74545,TAMU,Steven,Adams,231
74547,BYU,Bryan,Burrows,192
74551,ECU,Jose,Rodriguez,241
74552,SDSU,Tung,Poblete,196
74553,COLO,James,Salch,288
74554,CHSO,Bartley,Doyle,227
74556,FLA,Frederick,Cook,301
74561,WASH,Dino,Khan,186
74562,NEV,Raymond,Sewell,217
74565,NIU,Perry,Miller,305
74566,UKEN,David,Smith,228
74567,APST,Timothy,Knight,283
74568,ALB,Christopher,Stallman,204
74570,TEMP,Thomas,Wilson,288
74572,AZST,Samuel,Ortiz,219
74573,UNLV,Michael,Gilreath,188
74574,PITT,Houston,Willett,189
74578,UNM,Anthony,Chang,290
74579,UNM,Edward,Porter,241
74580,UTST,Roger,Alford,199
74585,ILLI,Michael,Robinson,314
74586,MIAF,Antony,Wagner,203
74589,MINN,Joseph,Gill,211
74591,WYOM,Jeffrey,Sell,306
74594,WISC,Nathaniel,Tanner,229
74596,CSU,Jing,Lei,221
74597,UKEN,Geronimo,Meinzer,217
74598,WKU,Samuel,Bixler,293
74599,FAU,Steven,Stephenson,244
74602,FSU,Calvin,Stewart,234
74603,UNM,Peter,Bertotti,196
74614,WASH,Sheldon,Johnson,203
74616,WMU,Henry,Hyman,191
74619,STAN,Paul,Lam,191
74628,SIU,Patrick,Crump,198
74636,UNM,Brian,Gallardo,194
74639,TTU,David,Lenahan,295
74648,OKST,Justin,Snow,226
74650,WAKE,Juan,Franco,313
74651,LSU,Richard,Mccaslin,298
74653,MRSH,Wayne,Scholl,187
74656,UTST,James,Chiu,199
74657,TEMP,David,Thompson,242
74663,CAL,Joseph,Mao,303
74666,WISC,Jon,Kennedy,246
74670,MICH,Eric,Hartford,287
74679,MISS,Donald,Jennings,211
74681,STMN,Melvin,Crockett,286
74682,CSU,Adam,Tyler,210
74684,IND,Peter,Landis,304
74688,WISC,Robert,Otten,191
74690,MISS,Edgar,Peng,201
74691,BAYL,Mikael,Boyd,254
74700,OHST,Rufus,Hickey,230
74702,CAL,Michael,Spencer,291
74706,NCST,Robert,Young,280
74711,COLO,George,Moore,302
74712,MIST,Glenn,Kramer,306
74713,FLA,Christopher,Eaton,276
74722,BALL,Richard,Wilson,287
74727,MISS,Michael,Ramirez,198
74728,MISS,Davis,Triggs,191
74736,ND,Kenneth,Brimhall,216
74740,IND,Kenneth,Mossey,178
74743,ILLI,Leonard,Hernandez,195
74744,BYU,Lee,Casteel,241
74745,USC,Peter,Bautista,211
74753,WASH,Thomas,Doyle,297
74759,BYU,Vincent,Prestegaard,202
74776,BYU,Raymundo,Rodriguez,242
74788,USM,Brett,Dunn,195
74795,TOW,Robert,Parker,303
74797,ND,Clifford,Heikkinen,287
74798,TOW,Ignacio,Alviter,289
74801,LOU,Leonard,Palmeri,207
74804,UNLV,Timothy,Berryman,195
74809,STAN,Brian,Neumann,244
74810,TTU,Glenn,Emmitt,255
74817,UCLA,Jimmy,Ojeda,177
74837,MTSU,Ronald,Brennan,211
74838,BGSU,Jimmy,Percival,244
74842,TXST,Jeremy,Gilbert,191
74843,CSU,Jesse,Chambliss,193
74847,UKEN,Justin,Godfrey,223
74853,GAST,Kevin,Fuentes,194
74867,IND,Phillip,Otter,313
74871,STAN,John,Heath,246
74873,FLA,Robert,Saavedra,218
74874,PITT,Elias,Garza,229
74875,USF,Christopher,Herold,201
74877,WVU,Tom,Hinkle,230
74883,STAN,Thad,Berga,193
74884,OKST,Kenneth,Ames,203
74885,FLA,Edgardo,Serafini,184
74891,MINN,Marco,Luna,202
74899,BAMA,Adrian,Blagg,287
74901,RICE,James,Sherlin,287
74908,TULS,Curtis,Mcgill,250
74913,CCU,Robert,Alas,288
74916,TTU,Don,Seal,201
74922,FSU,Steven,Webb,300
74929,COLO,Mahesh,Smith,220
74931,MTST,Kevin,Weaver,277
74933,MISS,Harold,Arwood,222
74934,UNM,Jose,Covarrubias,229
74938,BYU,Michael,Danielson,182
74939,ND,Samuel,Ahn,229
74940,ARMY,Kevin,Hastings,184
74946,UNM,Donald,Parrish,276
74948,NAVY,Earl,Matthews,290
74950,GT,Paul,Marengo,207
74952,PURD,Erick,Grade,234
74953,IOWA,Juan,Manzo,297
74963,STAN,Gary,Zahedi,237
74966,WASH,Monte,Brouwer,297
74971,MRSH,Christopher,Edwards,196
74974,OKLA,Christopher,Scott,236
74981,NEB,Christopher,Lengacher,224
74982,BYU,Theodore,Sacre,196
74984,UNLV,Leonel,Leon,219
74989,TXST,Norman,Washington,201
74992,ZONA,Oliver,Edwards,227
74997,WMU,Daniel,Courtney,177
75001,IND,James,Whitt,199
75006,UCLA,Michael,Presley,279
75007,CAL,Uday,Chen,193
75010,COLO,Neil,Hills,192
75024,WISC,Carl,Irelan,200
75025,KANS,Kenny,Morrison,297
75032,COLO,Jose,Avila,244
75039,SJSU,Richard,Lanier,273
75041,MISS,William,Isaac,223
75042,UGA,Collin,Kuduk,285
75044,WMU,Scott,Heyward,188
75046,USC,Duane,Mueller,182
75049,UTM,James,Woelfle,283
75050,VAND,Robert,Tinklenberg,289
75051,UTAH,Paul,Briggs,290
75052,MRSH,Rudy,Quezada,310
75056,TLNE,Brian,Thurston,295
75059,SMU,Scott,Oleary,239
75064,MRSH,Thomas,Poe,244
75066,SMU,Francisco,Nicholson,277
75068,NEB,Brian,Juel,190
75069,TENN,Adam,Simonton,228
75074,WASH,Nicholas,Schooley,297
75076,FSU,Steven,Lott,293
75078,ZONA,James,Long,193
75081,JMU,Samuel,Stotler,243
75086,ND,William,Ofman,199
75088,TTU,Bradley,Mescall,189
75094,UTAH,Travis,Snipes,275
75113,MINN,Jeremiah,Knight,252
75115,USC,Paul,Osullivan,296
75127,NAVY,Timothy,Dunehew,243
75131,COLO,Edward,Austin,194
75142,OHST,James,Penta,191
75147,UGA,Dennis,Johnson,192
75151,NEB,Robert,King,235
75155,OHIO,David,Mcdonald,224
75157,MISS,Clarence,Andrews,273
75158,IOWA,Andres,Rodarte,221
75165,UTST,Darrell,Wilkerson,311
75168,STAN,Arthur,Harris,236
75171,USA,Vincent,Jensen,295
75174,TLNE,Keith,Plantholt,276
75177,BALL,Charles,Mooney,240
75178,BYU,Luis,Kinzer,270
75182,MIAF,Timothy,Cornish,220
75183,BYU,Robert,Turner,295
75184,MRSH,Darrell,Foster,236
75186,CONN,Vincent,Turner,288
75188,TLNE,Igor,Peters,219
75208,MISS,Marc,Crumley,192
75211,GRAM,Steven,Hunt,235
75213,UNC,Donald,Clarke,292
75224,IOWA,Adam,Witt,310
75225,WISC,Felix,Crisostomo,218
75226,COLO,Vince,Saafi,190
75230,CSU,Ryan,Ortel,190
75234,UTST,Robert,Julian,243
75239,UNLV,Alfredo,Crawford,253
75241,SMU,Dustin,Callan,193
75246,OHST,Bradley,Perry,286
75260,TTU,Bryan,Krieger,213
75270,TEMP,Fidel,Casanova,195
75274,NCST,Allan,Tjapkes,197
75276,UNC,Caleb,Ritter,191
75278,BALL,Sean,Cooley,256
75280,WASH,Stephen,Wetsch,284
75282,CSU,Antonio,Cary,297
75284,SDSU,Kenneth,Hall,225
75286,TAMU,Jeffery,Badalyan,246
75291,IDHO,James,Falkner,233
75293,LSU,Jeffrey,Beckham,237
75298,ILLI,Stephen,Furst,206
75300,TEX,James,Jones,187
75302,WMU,Andrew,Wolff,281
75305,JMU,Kenneth,Garcia,287
75309,WVU,Oscar,Leighton,196
75311,WISC,John,Mason,203
75317,OKST,Ruben,Florez,195
75321,NAVY,Scot,Vannatta,297
75326,BGSU,Gary,Vandyke,191
75328,STAN,Everardo,Cortez,284
75329,NAVY,Ryan,Gwynn,182
75330,IND,Frank,Ksor,218
75337,OHIO,William,Penn,284
75338,UTAH,Miguel,Quiroga,231
75345,BAYL,Jason,Seay,288
75367,WISC,Masoud,King,196
75376,UNLV,Daniel,Allison,247
75384,BYU,Josh,Donohoe,222
75389,FLA,Adan,Segovia,233
75390,TTU,Hernan,Lucas,185
75394,UNM,Jesse,Valenza,311
75403,ULL,Ramiro,Rocha,306
75408,MIAF,Charles,Jackson,196
75409,PURD,Daniel,Tillman,286
75411,UNM,Christopher,Amirian,244
75412,STAN,David,Dykstra,300
75418,TTU,Robert,Roegner,295
75420,VT,Alan,Wende,288
75425,RICE,Michael,Bretschneider,185
75426,UNLV,Darwin,Thayer,186
75428,WISC,Antonio,Nelson,222
75429,WEB,Richard,Hofstee,218
75430,ARMY,William,Marsh,193
75432,WEB,Gregory,Robinson,180
75435,UTAH,Paul,Allen,295
75437,ND,Mazen,Cowan,307
75438,ZONA,Richard,Demosthenes,223
75441,MICH,Douglas,Mcgrath,183
75448,PITT,Walter,Rushmore,189
75453,WEB,Joe,Fu,225
75465,CAL,Anh,Lim,214
75466,USC,Don,Tracey,231
75469,USC,Gerald,Savoia,295
75471,NCST,Daniel,Smith,282
75472,LAF,Richard,Turner,200
75478,YALE,Bruce,Wahlstrom,217
75480,UKEN,Robert,Hill,264
75495,SDSU,Allen,Ford,193
75496,STAN,Marshall,Dunham,236
75498,ILLI,Jose,Rivera,195
75499,UNM,Jose,Santiago,209
75501,BCU,Jeffrey,Dulac,239
75502,ECU,Alphonso,Caper,282
75503,UNC,Thomas,Taber,200
75506,BALL,Yi,Xiao,295
75507,BGSU,Myong,Santo,200
75511,COLG,Ray,Northern,298
75514,LOU,James,Barrows,295
75515,ECU,Eric,Nelson,230
75521,BYU,Patrick,Hartline,292
75530,BC,Thomas,Payne,196
75533,STAN,Ernest,Smith,194
75535,FSU,Edward,Bailey,196
75536,DUKE,Kyle,Craig,304
75539,MINN,Joseph,Bragunier,215
75540,STAN,David,Lee,239
75542,FSU,George,Hanes,281
75543,UNM,Juan,King,251
75548,ILLI,Hung,Yu,193
75549,OKLA,William,Mayer,316
75550,UTST,Sang,Nguyen,248
75551,USAF,Joey,Gallagher,194
75562,LOU,Yi,Delzoppo,296
75570,BAYL,Armando,Perez,232
